image,critical,high,total
rancher/hardened-addon-resizer:1.8.23-build20260717,0,0,0
rancher/hardened-calico:v3.32.1-build20260717,0,5,5
rancher/hardened-cluster-autoscaler:v1.10.3-build20260717,0,0,0
rancher/hardened-cni-plugins:v1.9.1-build20260717,0,0,0
rancher/hardened-coredns:v1.14.6-build20260717,0,1,1
rancher/hardened-csi-snapshotter:v8.6.0-build20260708,0,1,1
rancher/hardened-dns-node-cache:1.26.8-build20260717,0,1,1
rancher/hardened-etcd:v3.6.12-k3s1-build20260708,0,2,2
rancher/hardened-flannel:v0.28.7-build20260717,0,1,1
rancher/hardened-k8s-metrics-server:v0.9.0-build20260717,0,1,1
rancher/hardened-multus-cni:v4.3.0-build20260717,0,2,2
rancher/hardened-multus-dynamic-networks-controller:v0.3.8-build20260717,0,1,1
rancher/hardened-multus-thick:v4.3.0-build20260717,0,2,2
rancher/hardened-snapshot-controller:v8.6.0-build20260708,0,1,1
rancher/hardened-traefik:v3.7.8-build20260717,0,1,1
rancher/hardened-whereabouts:v0.9.4-build20260717,0,0,0
rancher/harvester-cloud-provider:v0.2.7,0,1,1
rancher/harvester-csi-driver:v0.2.9,0,11,11
rancher/klipper-helm:v0.13.1-build20260715,0,6,6
rancher/klipper-lb:v0.4.17,0,0,0
rancher/mirrored-calico-apiserver:v3.32.1,0,1,1
rancher/mirrored-calico-cni:v3.32.1,0,1,1
rancher/mirrored-calico-csi:v3.32.1,0,2,2
rancher/mirrored-calico-ctl:v3.32.1,0,2,2
rancher/mirrored-calico-envoy-gateway:v3.32.1,0,1,1
rancher/mirrored-calico-envoy-proxy:v3.32.1,0,0,0
rancher/mirrored-calico-envoy-ratelimit:v3.32.1,0,1,1
rancher/mirrored-calico-goldmane:v3.32.1,0,2,2
rancher/mirrored-calico-kube-controllers:v3.32.1,0,1,1
rancher/mirrored-calico-node-driver-registrar:v3.32.1,0,2,2
rancher/mirrored-calico-node:v3.32.1,0,3,3
rancher/mirrored-calico-operator:v1.42.3,1,5,6
rancher/mirrored-calico-pod2daemon-flexvol:v3.32.1,0,1,1
rancher/mirrored-calico-typha:v3.32.1,0,1,1
rancher/mirrored-calico-whisker-backend:v3.32.1,0,1,1
rancher/mirrored-calico-whisker:v3.32.1,0,0,0
rancher/mirrored-cilium-certgen:v0.4.6,0,4,4
rancher/mirrored-cilium-cilium-envoy:v1.36.9-1782267392-edeb3f2af56c37c407efa1f63f0b32f595399bbc,0,0,0
rancher/mirrored-cilium-cilium:v1.19.6,0,4,4
rancher/mirrored-cilium-clustermesh-apiserver:v1.19.6,0,2,2
rancher/mirrored-cilium-hubble-relay:v1.19.6,0,1,1
rancher/mirrored-cilium-hubble-ui-backend:v0.13.5,0,4,4
rancher/mirrored-cilium-hubble-ui:v0.13.5,0,2,2
rancher/mirrored-cilium-operator-aws:v1.19.6,0,1,1
rancher/mirrored-cilium-operator-azure:v1.19.6,0,1,1
rancher/mirrored-cilium-operator-generic:v1.19.6,0,1,1
rancher/mirrored-kube-vip-kube-vip-iptables:v1.1.2,2,15,17
rancher/mirrored-library-busybox:1.36.1,0,0,0
rancher/mirrored-longhornio-csi-attacher:v4.11.0-20260428,0,5,5
rancher/mirrored-longhornio-csi-node-driver-registrar:v2.16.0-20260428,0,4,4
rancher/mirrored-longhornio-csi-provisioner:v5.3.0-20260428,0,5,5
rancher/mirrored-longhornio-csi-resizer:v2.1.0-20260428,0,5,5
rancher/mirrored-longhornio-csi-snapshotter:v8.5.0-20260428,0,5,5
rancher/mirrored-pause:3.10.2,0,0,0
rancher/rke2-cloud-provider:v1.36.2-0.20260610225606-10b320a3ba51-build20260709,0,4,4
registry.rancher.com/rancher/hardened-cloud-provider-vsphere:v1.36.0-build20260710,0,3,3
registry.rancher.com/rancher/hardened-csi-attacher:v4.12.0-build20260710,0,2,2
registry.rancher.com/rancher/hardened-csi-node-driver-registrar:v2.17.0-build20260710,0,1,1
registry.rancher.com/rancher/hardened-csi-provisioner:v6.3.0-build20260710,0,1,1
registry.rancher.com/rancher/hardened-csi-resizer:v2.2.1-build20260710,0,2,2
registry.rancher.com/rancher/hardened-livenessprobe:v2.19.0-build20260710,0,1,1
registry.rancher.com/rancher/hardened-vsphere-csi-driver:v3.7.2-build20260710,0,1,1
registry.rancher.com/rancher/hardened-vsphere-csi-syncer:v3.7.2-build20260710,0,1,1
registry.rancher.com/rancher/kube-webhook-certgen:v1.15.1-prime8,0,0,0
registry.rancher.com/rancher/nginx-ingress-controller:v1.15.1-prime8,0,0,0
