image,critical,high,total
rancher/hardened-addon-resizer:1.8.23-build20260717,0,6,6
rancher/hardened-calico:v3.32.1-build20260722,0,1,1
rancher/hardened-cluster-autoscaler:v1.10.3-build20260717,0,6,6
rancher/hardened-cni-plugins:v1.9.1-build20260717,0,0,0
rancher/hardened-coredns:v1.14.6-build20260722,0,7,7
rancher/hardened-csi-snapshotter:v8.6.0-build20260708,0,8,8
rancher/hardened-dns-node-cache:1.26.8-build20260722,0,7,7
rancher/hardened-etcd:v3.6.14-k3s1-build20260723,0,10,10
rancher/hardened-flannel:v0.28.8-build20260722,0,0,0
rancher/hardened-k8s-metrics-server:v0.9.0-build20260722,0,6,6
rancher/hardened-kubernetes:v1.35.7-rke2r1-build20260723,0,36,36
rancher/hardened-kubernetes:v1.36.3-rke2r1-build20260723,0,42,42
rancher/hardened-multus-cni:v4.3.0-build20260722,0,0,0
rancher/hardened-multus-dynamic-networks-controller:v0.3.8-build20260722,0,6,6
rancher/hardened-multus-thick:v4.3.0-build20260722,0,0,0
rancher/hardened-snapshot-controller:v8.6.0-build20260722,0,7,7
rancher/hardened-traefik:v3.7.8-build20260717,0,9,9
rancher/hardened-whereabouts:v0.9.4-build20260721,0,16,16
rancher/harvester-cloud-provider:v0.2.7,0,7,7
rancher/harvester-csi-driver:v0.2.9,0,14,14
rancher/k3s-upgrade:v1.35.7-k3s1,0,5,5
rancher/k3s-upgrade:v1.36.3-k3s1,0,8,8
rancher/klipper-helm:v0.13.3-build20260727,0,16,16
rancher/klipper-lb:v0.4.17,0,0,0
rancher/kube-api-auth:v0.15.0,0,6,6
rancher/kube-webhook-certgen:v1.14.5-hardened2,0,16,16
rancher/local-path-provisioner:v0.0.36,0,89,89
rancher/machine:v0.15.0-rancher145,0,14,14
rancher/mirrored-bci-micro:16.0-15.11,0,0,0
rancher/mirrored-calico-apiserver:v3.32.1,0,1,1
rancher/mirrored-calico-cni:v3.32.1,0,1,1
rancher/mirrored-calico-csi:v3.32.1,0,9,9
rancher/mirrored-calico-ctl:v3.32.1,0,9,9
rancher/mirrored-calico-envoy-gateway:v3.32.1,0,8,8
rancher/mirrored-calico-envoy-proxy:v3.32.1,0,0,0
rancher/mirrored-calico-envoy-ratelimit:v3.32.1,0,8,8
rancher/mirrored-calico-goldmane:v3.32.1,0,2,2
rancher/mirrored-calico-kube-controllers:v3.32.1,0,1,1
rancher/mirrored-calico-node-driver-registrar:v3.32.1,0,9,9
rancher/mirrored-calico-node:v3.32.1,0,10,10
rancher/mirrored-calico-operator:v1.42.3,1,12,13
rancher/mirrored-calico-pod2daemon-flexvol:v3.32.1,0,8,8
rancher/mirrored-calico-typha:v3.32.1,0,1,1
rancher/mirrored-calico-whisker-backend:v3.32.1,0,1,1
rancher/mirrored-calico-whisker:v3.32.1,0,0,0
rancher/mirrored-cilium-certgen:v0.4.6,0,7,7
rancher/mirrored-cilium-cilium-envoy:v1.36.9-1782267392-edeb3f2af56c37c407efa1f63f0b32f595399bbc,0,0,0
rancher/mirrored-cilium-cilium:v1.19.6,0,4,4
rancher/mirrored-cilium-clustermesh-apiserver:v1.19.6,0,8,8
rancher/mirrored-cilium-hubble-relay:v1.19.6,0,1,1
