image,critical,high,total
rancher/aks-operator:v1.13.9,0,3,3
rancher/ali-operator:v1.13.6,0,3,3
rancher/appco-alertmanager:0.28.1-12.7,0,23,23
rancher/appco-grafana:12.1.1-2.2,5,100,105
rancher/appco-k8s-sidecar:1.30.7-11.3,1,37,38
rancher/appco-kube-rbac-proxy:0.19.1-15.2,0,46,46
rancher/appco-kube-state-metrics:2.17.0-10.7,1,41,42
rancher/appco-kubernetes-cluster-autoscaler:1.34.0-3.4,1,46,47
rancher/appco-node-exporter:1.9.1-11.3,0,40,40
rancher/appco-redis:8.0.3-2.1,1,12,13
rancher/appco-thanos:0.39.2-7.3,0,40,40
rancher/azureserviceoperator:v2.11.0,1,47,48
rancher/backup-restore-operator:v9.0.7,1,8,9
rancher/cluster-api-addon-provider-fleet:v0.12.0,2,24,26
rancher/cluster-api-aws-controller:v2.9.1,1,41,42
rancher/cluster-api-azure-controller:v1.21.0,1,44,45
rancher/cluster-api-controller:v1.10.6,0,21,21
rancher/cluster-api-gcp-controller:v1.10.0,1,42,43
rancher/cluster-api-provider-rke2-bootstrap:v0.21.1,1,28,29
rancher/cluster-api-provider-rke2-controlplane:v0.21.1,1,28,29
rancher/cluster-api-vsphere-controller:v1.13.1,1,27,28
rancher/compliance-operator:v1.3.10,0,0,0
rancher/eks-operator:v1.13.9,0,3,3
rancher/fleet-agent:v0.14.10,0,1,1
rancher/fleet:v0.14.10,0,10,10
rancher/gke-operator:v1.13.10,0,4,4
rancher/hardened-addon-resizer:1.8.23-build20260819,0,0,0
rancher/hardened-calico:v3.32.1-build20260827,0,10,10
rancher/hardened-cluster-autoscaler:v1.10.3-build20260819,0,0,0
rancher/hardened-cni-plugins:v1.9.1-build20260819,0,0,0
rancher/hardened-coredns:v1.14.7-build20260819,0,3,3
rancher/hardened-csi-snapshotter:v8.6.0-build20260708,0,7,7
rancher/hardened-dns-node-cache:1.26.8-build20260819,0,5,5
rancher/hardened-etcd:v3.6.14-k3s1-build20260819,0,3,3
rancher/hardened-flannel:v0.28.9-build20260819,0,2,2
rancher/hardened-k8s-metrics-server:v0.9.0-build20260819,1,2,3
rancher/hardened-kubernetes:v1.32.13-rke2r1-build20260227,0,99,99
rancher/hardened-kubernetes:v1.33.13-rke2r2-build20260723,0,40,40
rancher/hardened-kubernetes:v1.34.11-rke2r1-build20260821,0,10,10
rancher/hardened-multus-cni:v4.3.0-build20260722,0,4,4
rancher/hardened-multus-dynamic-networks-controller:v0.3.8-build20260722,0,6,6
rancher/hardened-multus-thick:v4.3.0-build20260722,0,5,5
rancher/hardened-snapshot-controller:v8.6.0-build20260819,0,1,1
rancher/hardened-traefik:v3.7.11-build20260819,2,7,9
rancher/hardened-whereabouts:v0.9.4-build20260721,0,13,13
rancher/harvester-cloud-provider:v0.2.7,0,4,4
rancher/harvester-cloud-provider:v0.2.8,0,6,6
rancher/harvester-csi-driver:v0.2.8,0,20,20
rancher/harvester-csi-driver:v0.2.9,0,10,10
rancher/k3s-upgrade:v1.32.13-k3s1,0,13,13
rancher/k3s-upgrade:v1.33.13-k3s2,0,8,8
rancher/k3s-upgrade:v1.34.11-k3s1,0,3,3
rancher/klipper-helm:v0.11.1-build20260615,0,22,22
rancher/klipper-helm:v0.13.3-build20260727,0,17,17
rancher/klipper-helm:v0.13.3-build20260820,0,5,5
rancher/klipper-lb:v0.4.16,0,4,4
rancher/klipper-lb:v0.4.17,0,0,0
rancher/kube-api-auth:v0.13.1,0,8,8
rancher/kube-webhook-certgen:v1.14.5-hardened2,0,14,14
rancher/kubeadm-bootstrap-controller:v1.10.6,0,21,21
rancher/kubeadm-control-plane-controller:v1.10.6,0,21,21
rancher/kubectl:v1.34.1,0,12,12
rancher/kuberlr-kubectl:v6.0.0,0,54,54
rancher/kuberlr-kubectl:v6.0.3,0,42,42
rancher/kuberlr-kubectl:v6.1.1,0,22,22
rancher/local-path-provisioner:v0.0.37,0,4,4
rancher/machine:v0.15.0-rancher137.3,0,11,11
rancher/mirrored-bci-busybox:15.6.24.2,0,8,8
rancher/mirrored-bci-micro:15.6.24.2,0,8,8
rancher/mirrored-calico-apiserver:v3.32.1,0,3,3
rancher/mirrored-calico-cni:v3.32.1,0,3,3
rancher/mirrored-calico-csi:v3.32.1,1,9,10
rancher/mirrored-calico-ctl:v3.32.1,1,12,13
rancher/mirrored-calico-envoy-gateway:v3.32.1,1,11,12
rancher/mirrored-calico-envoy-proxy:v3.32.1,0,0,0
rancher/mirrored-calico-envoy-ratelimit:v3.32.1,1,8,9
rancher/mirrored-calico-goldmane:v3.32.1,0,6,6
rancher/mirrored-calico-kube-controllers:v3.32.1,0,3,3
rancher/mirrored-calico-node-driver-registrar:v3.32.1,1,9,10
rancher/mirrored-calico-node:v3.32.1,1,14,15
rancher/mirrored-calico-operator:v1.42.3,2,16,18
rancher/mirrored-calico-pod2daemon-flexvol:v3.32.1,0,6,6
rancher/mirrored-calico-typha:v3.32.1,0,3,3
rancher/mirrored-calico-whisker-backend:v3.32.1,0,3,3
rancher/mirrored-calico-whisker:v3.32.1,0,0,0
rancher/mirrored-cilium-certgen:v0.4.6,0,8,8
rancher/mirrored-cilium-cilium-envoy:v1.36.9-1782267392-edeb3f2af56c37c407efa1f63f0b32f595399bbc,0,0,0
rancher/mirrored-cilium-cilium:v1.19.6,0,12,12
rancher/mirrored-cilium-clustermesh-apiserver:v1.19.6,0,10,10
rancher/mirrored-cilium-hubble-relay:v1.19.6,0,3,3
rancher/mirrored-cilium-hubble-ui-backend:v0.13.5,1,10,11
rancher/mirrored-cilium-hubble-ui:v0.13.5,0,4,4
rancher/mirrored-cilium-operator-aws:v1.19.6,0,3,3
rancher/mirrored-cilium-operator-azure:v1.19.6,0,3,3
rancher/mirrored-cilium-operator-generic:v1.19.6,0,3,3
rancher/mirrored-cloud-provider-vsphere-csi-release-driver:v3.7.2,24,65,89
rancher/mirrored-cloud-provider-vsphere-csi-release-syncer:v3.7.2,19,36,55
rancher/mirrored-cloud-provider-vsphere:v1.34.0,0,22,22
rancher/mirrored-cluster-api-controller:v1.10.6,0,22,22
rancher/mirrored-coredns-coredns:1.14.6,0,19,19
rancher/mirrored-elemental-operator:1.8.2,0,0,0
rancher/mirrored-elemental-seedimage-builder:1.8.2,0,0,0
rancher/mirrored-fluent-fluent-bit:3.1.8,4,52,56
rancher/mirrored-idealista-prom2teams:4.2.1,3,48,51
rancher/mirrored-ingress-nginx-kube-webhook-certgen:v1.6.2,0,20,20
rancher/mirrored-ingress-nginx-kube-webhook-certgen:v1.6.7,0,16,16
rancher/mirrored-jimmidyson-configmap-reload:v0.13.1,0,17,17
rancher/mirrored-kube-logging-config-reloader:v0.0.6,0,18,18
rancher/mirrored-kube-logging-fluentd:v1.16-4.10-full,12,71,83
rancher/mirrored-kube-logging-logging-operator:4.10.0,0,15,15
rancher/mirrored-kube-vip-kube-vip-iptables:v1.1.2,0,24,24
rancher/mirrored-kube-vip-kube-vip-iptables:v1.2.3,0,9,9
rancher/mirrored-library-busybox:1.31.1,0,0,0
rancher/mirrored-library-busybox:1.36.1,0,0,0
rancher/mirrored-library-busybox:1.37.0,0,0,0
rancher/mirrored-library-traefik:3.3.6,0,28,28
rancher/mirrored-library-traefik:3.7.8,1,13,14
rancher/mirrored-longhornio-backing-image-manager:v1.12.1,0,19,19
rancher/mirrored-longhornio-csi-attacher:v3.2.1,0,66,66
rancher/mirrored-longhornio-csi-attacher:v4.11.0-20260428,0,11,11
rancher/mirrored-longhornio-csi-attacher:v4.12.0,0,8,8
rancher/mirrored-longhornio-csi-node-driver-registrar:v2.16.0-20260428,0,9,9
rancher/mirrored-longhornio-csi-node-driver-registrar:v2.17.0,0,6,6
rancher/mirrored-longhornio-csi-node-driver-registrar:v2.3.0,0,64,64
rancher/mirrored-longhornio-csi-provisioner:v5.3.0,0,18,18
rancher/mirrored-longhornio-csi-provisioner:v5.3.0-20250709,0,18,18
rancher/mirrored-longhornio-csi-provisioner:v5.3.0-20260428,0,11,11
rancher/mirrored-longhornio-csi-resizer:v1.2.0,0,66,66
rancher/mirrored-longhornio-csi-resizer:v2.1.0-20260428,0,11,11
rancher/mirrored-longhornio-csi-resizer:v2.2.1,0,7,7
rancher/mirrored-longhornio-csi-snapshotter:v8.3.0-20250709,0,19,19
rancher/mirrored-longhornio-csi-snapshotter:v8.5.0-20260428,0,11,11
rancher/mirrored-longhornio-csi-snapshotter:v8.6.0,0,8,8
rancher/mirrored-longhornio-livenessprobe:v2.19.0,0,6,6
rancher/mirrored-longhornio-longhorn-engine:v1.12.1,0,27,27
rancher/mirrored-longhornio-longhorn-instance-manager:v1.12.1,0,23,23
rancher/mirrored-longhornio-longhorn-manager:v1.12.1,0,17,17
rancher/mirrored-longhornio-longhorn-share-manager:v1.12.1,0,15,15
rancher/mirrored-longhornio-longhorn-ui:v1.12.1,0,10,10
rancher/mirrored-longhornio-support-bundle-kit:v0.0.92,0,11,11
rancher/mirrored-messagebird-sachet:0.3.1,1,51,52
rancher/mirrored-metrics-server:v0.9.0,1,11,12
rancher/mirrored-pause:3.10.2,0,0,0
rancher/mirrored-prometheus-operator-admission-webhook:v0.85.0,0,16,16
rancher/mirrored-prometheus-operator-prometheus-config-reloader:v0.80.1,0,16,16
rancher/mirrored-prometheus-operator-prometheus-operator:v0.85.0,0,16,16
rancher/mirrored-sig-storage-csi-attacher:v4.8.1,0,20,20
rancher/mirrored-sig-storage-csi-node-driver-registrar:v2.13.0,0,18,18
rancher/mirrored-sig-storage-csi-provisioner:v4.0.1,0,24,24
rancher/mirrored-sig-storage-csi-resizer:v1.12.0,0,20,20
rancher/mirrored-sig-storage-csi-snapshotter:v8.2.0,0,19,19
rancher/mirrored-sig-storage-livenessprobe:v2.15.0,0,18,18
rancher/mirrored-sig-storage-snapshot-controller:v8.2.0,0,15,15
rancher/mirrored-sonobuoy-sonobuoy:v0.57.5,0,5,5
rancher/neuvector-compliance-config:1.0.16,0,0,0
rancher/neuvector-controller:5.6.1,3,47,50
rancher/neuvector-enforcer:5.6.1,2,44,46
rancher/neuvector-manager:5.6.1,0,11,11
rancher/neuvector-prometheus-exporter:1.0.18,0,13,13
rancher/neuvector-registry-adapter:0.2.10,0,13,13
rancher/neuvector-scanner:6,0,0,0
rancher/neuvector-updater:0.0.14,0,8,8
rancher/nginx-ingress-controller:v1.14.5-hardened2,0,27,27
rancher/prom-prometheus:v3.5.0,0,48,48
rancher/prometheus-federator:v5.0.4,0,3,3
rancher/rancher-agent:v2.13.9,0,19,19
rancher/rancher-ai-agent:v1.0.2,5,39,44
rancher/rancher-ai-mcp:v1.0.2,0,19,19
rancher/rancher-csp-adapter:v8.0.0,0,20,20
rancher/rancher-webhook:v0.9.8,0,4,4
rancher/rancher:v2.13.9,0,88,88
rancher/remotedialer-proxy:v0.6.3,0,0,0
rancher/rke2-cloud-provider:v1.34.11-0.20260817193950-75826e8afefa-build20260820,1,4,5
rancher/rke2-runtime:v1.32.13-rke2r1,0,54,54
rancher/rke2-runtime:v1.33.13-rke2r2,1,35,36
rancher/rke2-runtime:v1.34.11-rke2r1,1,10,11
rancher/rke2-upgrade:v1.32.13-rke2r1,0,41,41
rancher/rke2-upgrade:v1.33.13-rke2r2,0,19,19
rancher/rke2-upgrade:v1.34.11-rke2r1,0,9,9
rancher/scc-operator:v0.5.1,0,3,3
rancher/security-scan:v0.8.9,0,15,15
rancher/shell:v0.6.4,1,38,39
rancher/supportability-review-app-frontend:v0.24.0,0,2,2
