image,critical,high,total
longhornio/backing-image-manager:v1.5.5,1,18,19
longhornio/csi-attacher:v4.4.2,1,4,5
longhornio/csi-node-driver-registrar:v2.9.2,1,4,5
longhornio/csi-provisioner:v3.6.2,1,4,5
longhornio/csi-resizer:v1.9.2,1,4,5
longhornio/csi-snapshotter:v6.3.2,1,4,5
longhornio/livenessprobe:v2.12.0,1,2,3
longhornio/longhorn-engine:v1.5.5,3,29,32
longhornio/longhorn-instance-manager:v1.5.5,3,28,31
longhornio/longhorn-manager:v1.5.5,1,19,20
longhornio/longhorn-share-manager:v1.5.5,1,10,11
longhornio/longhorn-ui:v1.5.5,0,8,8
longhornio/support-bundle-kit:v0.0.37,2,12,14
